,number,value,duration,params_Dropout,params_learn_rate,system_attrs_grid_id,system_attrs_search_space
0,0,0.09995865408420568,0 days 00:00:12.491173,0.2982758620689655,0.010157894736842105,166,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
1,1,0.1176233971967301,0 days 00:00:12.336389,0.36034482758620684,0.005578947368421052,203,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
2,2,0.5402018162798881,0 days 00:00:12.343701,0.8258620689655172,0.01931578947368421,512,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
3,3,0.4765344106654326,0 days 00:00:12.342962,0.8568965517241379,0.00863157894736842,525,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
4,4,0.2590354591818651,0 days 00:00:13.205625,0.42241379310344823,0.025421052631578945,256,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
5,5,0.08550130193789796,0 days 00:00:12.828166,0.2362068965517241,0.007105263157894736,124,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
6,6,0.23685543196400016,0 days 00:00:12.757255,0.11206896551724138,0.03,59,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
7,7,0.2938212436477343,0 days 00:00:12.953674,0.6086206896551724,0.007105263157894736,364,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
8,8,0.3446375339321296,0 days 00:00:12.387624,0.6396551724137931,0.011684210526315787,387,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
9,9,0.3236236157747111,0 days 00:00:13.057813,0.6706896551724137,0.011684210526315787,407,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
